UNIVERSIDAD,NOMBREMUN,NI,COORD,LAT,LONG
UNIVERSIDAD PRIVADA DE IRAPUATO,IRAPUATO,299,"20.684065381099703, -101.33596698801418",20.68406538,-101.335967
INSTITUTO DE ESTUDIOS SUPERIORES DEL BAJÍO,CELAYA,284,"20.538825742290975, -100.81411677134041",20.53882574,-100.8141168
INSTITUTO TECNOLÓGICO SUPERIOR DE GUANAJUATO,GUANAJUATO,256,"20.946298648979845, -101.28860567584638",20.94629865,-101.2886057
INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,LEÓN,252,"21.16731109800964, -101.71398292889924",21.1673111,-101.7139829
"CENTRO DE ESTUDIOS UNIVERSITARIOS DEL BAJÍO, S. C.",LEÓN,251,"21.102570389930058, -101.64877662269546",21.10257039,-101.6487766
UNIVERSIDAD INTERACTIVA Y A DISTANCIA DEL ESTADO DE GUANAJUATO,LEÓN,238,"21.106637531070454, -101.57593684678274",21.10663753,-101.5759368
UNIVERSIDAD TECNOLÓGICA DE LEÓN,ACÁMBARO,222,"20.029949201483333, -100.63720552715532",20.0299492,-100.6372055
UNIVERSIDAD INTERACTIVA Y A DISTANCIA DEL ESTADO DE GUANAJUATO,SAN LUIS DE LA PAZ,214,"21.30641683707904, -100.51181228156292",21.30641684,-100.5118123
UNIVERSIDAD DE LEÓN,SAN MIGUEL DE ALLENDE,202,"21.12130720737527, -101.68506389980723",21.12130721,-101.6850639
ESCUELA NORMAL OFICIAL DE LEÓN,LEÓN,195,"21.148067279941138, -101.66678561684161",21.14806728,-101.6667856
ESCUELA NORMAL SUPERIOR OFICIAL DE GUANAJUATO,GUANAJUATO,193,"21.013867768730716, -101.27832393033576",21.01386777,-101.2783239
UNIVERSIDAD PATRIA,SAN MIGUEL DE ALLENDE,187,"20.90995698843453, -100.72133492942783",20.90995699,-100.7213349
UNIVERSIDAD INTERACTIVA Y A DISTANCIA DEL ESTADO DE GUANAJUATO,PÉNJAMO,181,"20.43234274296349, -101.72309150000781",20.43234274,-101.7230915
INSTITUTO MUNDIAL DE ESTUDIOS SUPERIORES,LEÓN,177,"21.146184103889173, -101.7145531579238",21.1461841,-101.7145532
INSTITUTO UNIVERSITARIO DEL CENTRO DE MÉXICO,SAN FELIPE,172,"21.12211233548805, -101.67934365017894",21.12211234,-101.6793437
UNIVERSIDAD DE LEÓN,CELAYA,168,"20.520039651073393, -100.8254145940902",20.52003965,-100.8254146
INSTITUTO UNIVERSITARIO DEL CENTRO DE MÉXICO,GUANAJUATO,166,"21.02501254804803, -101.25397512662965",21.02501255,-101.2539751
UNIVERSIDAD INTERACTIVA Y A DISTANCIA DEL ESTADO DE GUANAJUATO,SAN FELIPE,166,"21.479267182448094, -101.21329366030287",21.47926718,-101.2132937
ESCUELA NORMAL OFICIAL DE IRAPUATO,IRAPUATO,165,"20.654145235877976, -101.34990860335925",20.65414524,-101.3499086
UNIVERSIDAD DE LEÓN,SALAMANCA,160,"20.580586177396412, -101.20492686711276",20.58058618,-101.2049269
"ESCUELA BANCARIA Y COMERCIAL, S.C.",LEÓN,156,"21.15382809763483, -101.6864437321861",21.1538281,-101.6864437
GRUPO EDUCATIVO IMEI,ACÁMBARO,154,"20.035659138522647, -100.7230022266478",20.03565914,-100.7230022
"UNIVERSIDAD LA SALLE, A.C. - BAJÍO",SALAMANCA,154,"20.549362914097053, -101.22519826107047",20.54936291,-101.2251983
UNIVERSIDAD INTERACTIVA Y A DISTANCIA DEL ESTADO DE GUANAJUATO,APASEO EL GRANDE,153,"20.556831561126366, -100.68313891315405",20.55683156,-100.6831389
INSTITUTO UNIVERSITARIO DEL CENTRO DE MÉXICO,MOROLEÓN,151,"20.13048244888815, -101.19099380944859",20.13048245,-101.1909938
INSTITUTO TECNOLÓGICO SUPERIOR DE IRAPUATO,SAN LUIS DE LA PAZ,148,"21.30230243976167, -100.50585151735977",21.30230244,-100.5058515
INSTITUTO UNIVERSITARIO DEL CENTRO DE MÉXICO,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,146,"21.16288348348685, -100.93806769145056",21.16288348,-100.9380677
